legacy_source,managed_source,drive_file_ids,legacy_chunks,managed_active_chunks,legacy_unique_tokens,managed_unique_tokens,shared_unique_tokens,jaccard_similarity,conclusion
ferida__fios_sutura__artigo__surgical_sutures__2016__v1.pdf,ferida__fios_sutura__artigo__surgical_sutures__2016__v1,16GLTKTwbrmzK0Ss_EvupoyQQEm6kYSpG,22,36,1244,1238,1221,0.9683,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
ferida__higiene_feridas_estrategia_proativa_cicatrizacao__guia__murphy_et_al__2022__v1.pdf,ferida__higiene_feridas_estrategia_proativa_cicatrizacao__guia__murphy_et_al__2022__v1,1TiWjB4dsk0mmiuDFZ1raAmjjSnWGQtVG,59,89,1945,1942,1936,0.9923,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
ferida__implementando_timers__guia__wound_care_journal__2019__v1.pdf,ferida__implementando_timers__guia__wound_care_journal__2019__v1,1wHIhi2Yw7B-NCR3oN3tfBnlZ9I9f2fHu,177,269,4696,4719,4685,0.9905,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
infeccao_sitio_cirurgico__atualizacao_evidencia_cientifica_poscionamento_ciuúrgico__artigo__sobecc__2022__v1.pdf,infeccao_sitio_cirurgico__atualizacao_evidencia_cientifica_poscionamento_ciuúrgico__artigo__sobecc__2022__v1,1EP6smNAfD1mGvxlFI60zdWYI0AUiBzbS,28,42,1223,1225,1223,0.9984,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
infeccao_sitio_cirurgico__capitulo_recursos_humanos_centro_cirurgico__capitulo_livro__sobecc__2017__v1.pdf,infeccao_sitio_cirurgico__capitulo_recursos_humanos_centro_cirurgico__capitulo_livro__sobecc__2017__v1,1GPn09XtMV0-zVQvV9jAeZUSBGS5oX_NT,35,68,0,2599,0,0.0000,NOME_SEM_EQUIVALENCIA_DE_CONTEUDO — não excluir
infeccao_sitio_cirurgico_avaliacao_risco_lesao_posicionamento_cirurgico_escala_elpo__artigo__rlae__2016__v1.pdf,infeccao_sitio_cirurgico_avaliacao_risco_lesao_posicionamento_cirurgico_escala_elpo__artigo__rlae__2016__v1,1jqsGK86i2AcDj9ATPyU13kcsRLkmCNJn,29,43,1093,1087,1087,0.9945,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
nomenclatura_cirurgica__intervencoes_fundamentais_em_cirurgia__artigo__j_surg_cl_res__2018__v1.pdf,nomenclatura_cirurgica__intervencoes_fundamentais_em_cirurgia__artigo__j_surg_cl_res__2018__v1,1Dfa11eSLLIDE5S6eZPY8_qP3fG7WZQTx,29,45,1556,1536,1513,0.9582,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
nutricao__recomendacoes_nutricao_oral_entral_parenteral_balanco_hidrico__guia__braspen__2021__v1.pdf,nutricao__recomendacoes_nutricao_oral_entral_parenteral_balanco_hidrico__guia__braspen__2021__v1,1sZ-qNwzDCdhcj1osXoe3SQx-B6Nmikf9,271,398,7803,7860,7781,0.9872,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__boas_praticas_seguranca_paciente_recomendacao_para_enfermeiros__artigo__reben__2018__v1.pdf,seguranca_cirurgica__boas_praticas_seguranca_paciente_recomendacao_para_enfermeiros__artigo__reben__2018__v1,1nAnS9Lgf5Ywwv43xtoq369StrZQaTTIU,39,55,1635,1635,1634,0.9988,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__cirurgia_segura__manual__oms__2009__v2.pdf,seguranca_cirurgica__cirurgia_segura__manual__oms__2009__v2,1AgmiMWrMdEsKTJuyY89oN3ldd6w__Pbg,454,696,9007,8945,8857,0.9738,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__fatores_adesao_lista_verificacao_seguranca_cirurgica__artigo__sobecc__2021__v1.pdf,seguranca_cirurgica__fatores_adesao_lista_verificacao_seguranca_cirurgica__artigo__sobecc__2021__v1,1a42jr8rEqtm-Z_4JJcUAQ1iXayt-nQrT,29,42,1333,1332,1325,0.9888,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__praticas_prevencao_retencao_nao_intencional_objetos_apos_cirurgia__nota_tecnica__anvisa__2017__v1.pdf,seguranca_cirurgica__praticas_prevencao_retencao_nao_intencional_objetos_apos_cirurgia__nota_tecnica__anvisa__2017__v1,1Zr2cWKl5SsHDYTNdiRLLHNFLI0JM2O7v,37,60,1248,1221,1197,0.9410,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__protocolo_cirurgia_segura__protocolo__ministerio_saude_anvisa_fiocruz__2013__v1.pdf,seguranca_cirurgica__protocolo_cirurgia_segura__protocolo__ministerio_saude_anvisa_fiocruz__2013__v1,1JQkYmjfUSx_Nhhh-z2PxKs_RG5s_8p2z,17,28,845,835,821,0.9558,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
seguranca_cirurgica__seguranca_paciente_vigilancia_sanitaria__artigo__revista_visa_em_debate__2014__v1.pdf,seguranca_cirurgica__seguranca_paciente_vigilancia_sanitaria__artigo__revista_visa_em_debate__2014__v1,1tlLGjy3H7HybRDJfw7UqUxbmA2SrcVdQ,40,59,1842,1878,1831,0.9693,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
sutura__implicacoes_politicas_tecnicas_socioculturais_da_sutura_simples__resumo_simposio__unirio__2023__v1.pdf,sutura__implicacoes_politicas_tecnicas_socioculturais_da_sutura_simples__resumo_simposio__unirio__2023__v1,1x6ItDqToXxEVWogytRPZIMvj0k9s_eT3,11,15,578,577,577,0.9983,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
teleconsulta__experiencia_profissionais_saúde__artigo__revista_escola_de_enfermagem_da_usp__2023__v1.pdf,teleconsulta__experiencia_profissionais_saúde__artigo__revista_escola_de_enfermagem_da_usp__2023__v1,1DlFt-yq4yEtwCfTbQ1tbesx4SBIaFFMt,38,56,1810,1785,1784,0.9851,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
teleconsulta__resolucao_cofen_telenfermagem__regulamento__cofen__2022__v1.pdf,teleconsulta__resolucao_cofen_telenfermagem__regulamento__cofen__2022__v1,1JVN_nsRJnsqjoo8DuKWaPVEHZF0QAeyr,19,25,717,677,640,0.8488,VERSAO_RELACIONADA — manter ambas até validação documental
teleconsulta__teleconsulta_enfermagem_paciente_cirurgia_geral__artigo__global_academic_nursing_journal__2022__v1.pdf,teleconsulta__teleconsulta_enfermagem_paciente_cirurgia_geral__artigo__global_academic_nursing_journal__2022__v1,12E3zeZALF2fXu7Axkq-bPbqqGi8PpkLa,30,43,1489,1455,1433,0.9484,IDENTIDADE_PROVAVEL — confirmar backup e origem antes de excluir
